Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Record high,36.6,38.0,36.5,38.7,35.0,33.5,32.3,32.8,33.9,34.5,38.0,37.5,38.7
Daily max,32.6,33.0,33.0,32.7,31.8,29.8,28.6,28.4,29.6,31.1,32.1,32.4,31.3
Daily mean,28.5,29.2,29.2,29.0,28.3,26.8,25.9,25.6,26.5,27.5,28.3,28.6,27.8
Daily min,24.5,25.4,25.4,25.3,24.7,23.8,23.3,22.9,23.4,23.8,24.6,24.7,24.3
Record low,15.0,16.7,18.9,19.4,18.6,17.8,17.8,17.2,18.3,19.4,17.8,16.7,15.0
Precipitation,11.8,25.5,61.1,87.8,151.4,189.6,63.0,21.0,42.9,80.0,37.2,27.2,798.5
Precipitation days,0.8,1.6,4.1,4.7,8.3,10.2,5.4,3.6,5.4,5.7,2.8,1.5,54.1
Humidity,77,78,79,80,81,85,84,83,81,82,80,80,81
Sunshine hours,185.9,189.7,211.9,221.2,219.4,157.9,150.8,146.8,173.0,237.6,244.9,222.7,2361.8
