Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Record high,33.3,33.4,33.5,34.1,33.5,32.6,31.1,31.4,31.6,32.4,34.4,33.4,34.4
Daily max,29.9,30.5,31.1,31.5,30.7,29.2,28.4,28.6,29.2,29.9,30.2,30.2,30.0
Daily mean,26.9,27.5,27.9,28.1,27.9,26.8,26.0,26.1,26.5,26.9,27.0,27.0,27.1
Daily min,24.3,24.9,25.1,25.3,25.6,24.8,24.1,24.1,24.4,24.6,24.3,24.2,24.6
Record low,24.1,21.1,22.1,22.3,21.6,20.9,20.4,19.6,20.2,20.5,21.5,20.0,19.6
Precipitation,401.3,270.2,195.5,188.1,146.0,102.9,80.3,114.2,150.0,192.8,205.0,303.2,2349.5
Humidity,83,80,80,80,79,79,80,79,79,79,80,82,80
Sunshine hours,155.0,175.2,213.9,231.0,254.2,225.0,232.5,232.5,219.0,226.3,204.0,176.7,2545.3
Daily sunshine,5.0,6.2,6.9,7.7,8.2,7.5,7.5,7.5,7.3,7.3,6.8,5.7,6.97
