Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Record high,36.8,36.4,36.4,36.1,32.7,30.7,34.0,31.7,33.0,32.3,34.9,35.7,36.8
Daily max,29.5,29.9,29.0,27.4,25.6,24.2,23.4,23.4,24.7,26.2,27.6,29.1,26.7
Daily mean,26.5,26.9,26.2,24.7,22.9,21.6,20.6,20.5,21.5,22.9,24.3,25.8,23.7
Daily min,23.4,24.0,23.5,22.0,20.2,18.9,17.7,17.5,18.3,19.6,21.0,22.5,20.7
Record low,18.6,19.0,18.8,16.7,15.7,13.6,13.5,13.2,13.3,14.2,15.2,17.8,13.2
Precipitation,107.2,128.3,161.9,118.3,89.9,77.5,69.8,67.5,39.3,36.3,44.2,64.0,1004.2
Rainy days,10.1,10.8,11.9,11.7,11.3,9.3,9.4,8.4,5.8,4.8,6.0,6.7,106.3
Sunshine hours,238.5,205.6,196.1,193.1,173.2,154.6,182.4,203.5,230.8,258.6,250.6,261.8,2548.7
